m_chi_1p,m_chi_10
116.12,114.12
117.54,115.44
119.3,117.08
121.05,118.73
122.81,120.4
124.56,122.07
126.32,123.76
128.07,125.45
129.82,127.14
131.58,128.83
133.33,130.53
135.09,132.23
136.84,133.92
138.6,135.62
140.35,137.32
142.1,139.03
143.86,140.76
145.61,142.48
147.37,144.22
149.12,145.96
150.88,147.7
152.63,149.42
154.39,151.13
156.14,152.81
157.9,154.48
158.14,154.72
158.99,155.54
159.85,156.37
160.7,157.2
161.55,158.02
162.41,158.85
163.26,159.67
164.11,160.5
164.97,161.32
165.82,162.15
166.67,162.97
167.53,163.8
168.38,164.62
169.24,165.45
170.09,166.28
170.94,167.1
171.79,167.92
172.65,168.75
173.5,169.58
174.35,170.4
175.21,171.23
176.06,172.05
176.92,172.88
177.77,173.7
178.62,174.53
180.3,176.17
181.99,177.81
183.67,179.46
185.35,181.1
187.03,182.74
188.71,184.38
190.39,186.03
192.1,187.7
193.86,189.42
195.61,191.13
197.37,192.84
199.12,194.55
200.88,196.25
202.63,197.96
204.39,199.67
206.14,201.37
207.9,203.08
209.65,204.77
211.4,206.47
213.16,208.16
214.91,209.85
216.65,211.52
218.33,213.13
220.01,214.73
221.69,216.32
223.38,217.9
225.06,219.46
226.74,221.0
228.39,222.51
229.92,223.89
231.31,225.07
232.62,226.17
233.79,227.11
234.82,227.89
235.69,228.51
236.42,228.97
237.03,229.3
237.54,229.52
237.91,229.59
238.13,229.49
238.2,229.24
238.13,228.83
237.91,228.28
237.54,227.59
237.03,226.75
236.39,225.79
235.66,224.74
234.78,223.56
233.76,222.25
232.59,220.8
231.29,219.22
229.9,217.57
228.4,215.76
226.89,213.95
225.5,212.28
224.19,210.67
223.0,209.16
221.9,207.76
220.95,206.5
220.15,205.39
219.47,204.39
218.85,203.44
218.34,202.61
217.97,201.93
217.75,201.39
217.68,200.99
217.75,200.73
217.97,200.61
218.29,200.58
218.73,200.66
219.31,200.88
220.04,201.24
220.92,201.75
221.94,202.39
223.1,203.18
224.34,204.05
225.73,205.1
227.23,206.29
228.77,207.53
230.3,208.79
231.83,210.06
233.36,211.35
234.9,212.65
236.43,213.95
237.97,215.27
239.54,216.62
241.14,218.01
242.75,219.42
244.36,220.83
245.97,222.25
247.56,223.65
249.09,225.02
250.68,226.43
252.28,227.86
253.89,229.29
255.5,230.73
257.11,232.16
258.72,233.59
260.32,235.02
261.93,236.45
263.54,237.87
265.15,239.29
266.71,240.68
268.25,242.03
269.82,243.41
271.43,244.83
273.04,246.24
274.64,247.66
276.25,249.07
277.86,250.48
279.46,251.89
281.0,253.24
282.53,254.58
284.07,255.91
285.62,257.23
287.2,258.56
288.73,259.79
290.21,260.95
291.6,261.96
292.91,262.88
294.08,263.59
295.17,264.22
296.12,264.67
296.95,264.97
297.68,265.18
298.27,265.22
298.75,265.14
299.11,264.95
299.33,264.64
299.41,264.17
299.39,263.62
299.25,262.9
298.95,262.0
298.58,261.04
298.08,259.93
297.5,258.71
296.76,257.34
295.93,255.86
294.98,254.29
293.91,252.6
292.74,250.82
291.55,249.04
290.31,247.2
289.06,245.37
287.89,243.69
286.8,242.02
285.78,240.46
284.88,239.04
284.07,237.69
283.41,236.48
282.82,235.36
282.39,234.38
282.09,233.5
281.95,232.78
281.87,232.11
281.87,231.56
282.01,231.18
282.23,230.85
282.6,230.67
283.07,230.6
283.65,230.66
284.35,230.81
285.15,231.06
286.07,231.43
287.09,231.93
288.19,232.47
289.4,233.16
290.65,233.87
291.92,234.56
293.15,235.2
294.39,235.8
295.56,236.33
296.71,236.78
297.81,237.19
298.98,237.62
300.09,238.0
301.18,238.36
302.28,238.7
303.36,239.02
304.45,239.34
305.54,239.62
306.56,239.79
307.52,239.9
308.44,239.9
309.31,239.87
310.04,239.64
310.7,239.37
311.25,238.96
311.69,238.42
312.04,237.84
312.3,237.15
312.44,236.37
312.49,235.49
312.5,234.67
312.43,233.79
312.28,232.83
312.01,231.82
311.7,230.78
311.26,229.65
310.74,228.41
310.08,227.07
309.27,225.59
308.37,224.03
307.4,222.42
306.31,220.73
305.14,219.02
303.89,217.24
302.58,215.45
301.19,213.58
299.8,211.78
298.36,209.92
296.99,208.09
295.74,206.4
294.59,204.78
293.56,203.28
292.61,201.88
291.8,200.62
291.07,199.41
290.44,198.31
289.93,197.34
289.57,196.49
289.26,195.69
289.05,194.96
288.97,194.35
288.98,193.82
289.12,193.4
289.39,193.08
289.7,192.8
290.14,192.63
290.73,192.59
291.45,192.68
292.25,192.86
293.2,193.18
294.3,193.64
295.52,194.21
296.82,194.93
298.07,195.6
299.31,196.3
300.56,197.01
301.87,197.79
303.19,198.58
304.5,199.4
305.86,200.26
307.25,201.16
308.56,202.03
309.91,202.95
311.3,203.93
312.69,204.95
314.14,206.03
315.61,207.16
317.09,208.31
318.56,209.46
320.02,210.58
321.47,211.67
322.87,212.74
324.33,213.83
325.79,214.92
327.24,215.99
328.63,217.02
330.01,218.04
331.48,219.12
332.94,220.18
334.35,221.2
335.73,222.19
337.12,223.18
338.51,224.14
339.86,225.06
341.18,225.94
342.56,226.86
343.95,227.76
345.27,228.6
346.59,229.41
347.9,230.19
349.19,230.95
350.43,231.68
351.75,232.45
353.06,233.24
354.36,234.04
355.67,234.84
356.99,235.67
358.31,236.49
359.64,237.34
361.01,238.22
362.33,239.06
363.65,239.91
364.96,240.78
366.33,241.7
367.72,242.63
369.11,243.57
370.47,244.51
371.83,245.44
373.22,246.4
374.61,247.37
376.0,248.35
377.42,249.35
378.8,250.34
380.19,251.33
381.61,252.35
383.04,253.37
384.42,254.36
385.81,255.36
387.23,256.37
388.64,257.38
390.03,258.36
391.42,259.34
392.81,260.31
394.19,261.27
395.57,262.24
396.96,263.19
398.35,264.12
399.74,265.05
401.06,265.93
402.38,266.79
403.72,267.67
405.11,268.57
406.46,269.45
407.77,270.3
409.09,271.14
410.45,272.01
411.8,272.88
413.12,273.72
414.43,274.56
415.79,275.42
417.12,276.27
418.44,277.11
419.75,277.94
421.1,278.79
422.42,279.61
423.74,280.42
425.05,281.22
426.32,281.99
427.63,282.76
428.94,283.51
430.18,284.22
431.42,284.9
432.7,285.6
433.94,286.26
435.19,286.89
436.38,287.49
437.59,288.09
438.83,288.68
440.01,289.23
441.18,289.76
442.38,290.29
443.55,290.8
444.72,291.29
445.86,291.75
447.01,292.21
448.18,292.66
449.29,293.08
450.4,293.48
451.55,293.88
452.64,294.26
453.74,294.62
454.85,294.98
455.95,295.32
457.03,295.65
458.13,295.98
459.22,296.29
460.27,296.59
461.37,296.89
462.42,297.17
463.49,297.44
464.55,297.71
465.58,297.95
466.65,298.19
467.68,298.41
468.71,298.61
469.74,298.81
470.76,298.99
471.76,299.15
472.79,299.31
473.77,299.45
474.78,299.59
475.78,299.71
476.75,299.82
477.76,299.93
478.71,300.02
479.71,300.1
480.67,300.18
481.64,300.25
482.6,300.31
483.55,300.36
484.52,300.41
485.47,300.45
486.43,300.48
487.38,300.51
488.32,300.54
489.27,300.56
490.2,300.57
491.15,300.59
492.09,300.6
493.03,300.61
493.97,300.61
494.9,300.6
495.85,300.6
496.76,300.59
497.71,300.57
498.61,300.55
499.56,300.52
500.45,300.49
501.39,300.44
502.28,300.4
503.22,300.35
504.1,300.29
505.02,300.21
505.9,300.14
506.81,300.05
507.69,299.95
508.58,299.84
509.46,299.72
510.33,299.59
511.21,299.44
512.06,299.29
512.93,299.11
513.76,298.92
514.62,298.72
515.43,298.5
516.26,298.26
517.08,297.99
517.88,297.72
518.67,297.42
519.48,297.11
520.24,296.78
521.04,296.41
521.77,296.06
522.55,295.67
523.28,295.27
524.03,294.86
524.77,294.42
525.5,293.99
526.22,293.53
526.95,293.07
527.65,292.6
528.38,292.11
528.82,292.24
530.22,293.23
531.33,294.03
533.7,295.74
533.83,295.84
536.34,297.66
537.15,298.25
538.85,299.48
540.6,300.75
541.35,301.29
543.86,303.06
544.14,303.26
546.37,304.76
547.92,305.76
548.87,306.37
551.38,307.92
551.97,308.27
553.88,309.41
556.21,310.78
556.39,310.88
558.9,312.34
560.51,313.28
561.4,313.82
563.91,315.31
564.71,315.79
566.42,316.83
568.77,318.3
568.92,318.39
571.43,319.98
572.69,320.8
573.93,321.62
576.44,323.3
576.45,323.31
578.95,325.02
580.08,325.81
581.45,326.79
583.57,328.32
583.96,328.61
586.47,330.47
586.94,330.83
588.97,332.37
590.23,333.33
591.48,334.3
593.46,335.84
593.98,336.25
596.49,338.2
596.68,338.35
599.0,340.09
600.05,340.85
601.5,341.89
603.71,343.36
604.01,343.55
606.52,345.05
607.97,345.86
609.02,346.43
611.53,347.72
612.81,348.37
614.04,348.97
616.54,350.19
617.94,350.88
619.05,351.41
621.55,352.64
623.07,353.38
624.06,353.87
626.57,355.12
628.08,355.89
629.07,356.39
631.58,357.67
633.0,358.4
634.09,358.95
636.59,360.23
637.93,360.9
639.1,361.5
641.6,362.75
642.98,363.41
644.11,363.96
646.62,365.15
648.31,365.91
649.12,366.29
651.63,367.41
653.99,368.42
654.14,368.49
656.64,369.54
659.15,370.57
660.08,370.93
661.65,371.57
664.16,372.55
666.47,373.43
666.67,373.51
669.17,374.46
671.68,375.39
673.24,375.94
674.19,376.29
676.69,377.19
679.2,378.06
680.35,378.45
681.7,378.92
684.21,379.77
686.72,380.59
687.9,380.95
689.22,381.39
691.73,382.16
694.24,382.9
696.26,383.46
696.74,383.6
699.25,384.26
701.75,384.85
704.26,385.39
706.77,385.85
707.54,385.96
709.27,386.24
711.78,386.56
714.29,386.8
716.79,386.97
719.3,387.06
721.8,387.08
724.31,387.03
726.82,386.9
729.32,386.69
731.83,386.4
734.34,386.02
734.62,385.96
736.84,385.55
739.35,384.99
741.85,384.34
744.36,383.57
744.69,383.46
746.87,382.7
749.37,381.71
751.07,380.95
751.88,380.58
754.39,379.31
755.93,378.45
756.89,377.89
761.25,380.6
761.75,381.25
771.41,393.75
783.58,406.25
783.75,406.39
805.04,418.75
806.25,419.4
828.75,424.63
851.25,427.63
866.36,431.25
873.75,433.57
896.25,442.62
907.35,443.75
918.75,445.07
926.78,443.75
941.25,441.23
963.75,437.35
986.25,434.64
995.41,431.25
1008.8,425.78
1016.8,418.75
1029.1,406.25
1031.3,403.14
1037.0,393.75
1042.1,381.25
1046.2,368.75
1050.3,356.25
1053.8,345.37
1054.3,343.75
1058.3,331.25
1062.4,318.75
1066.6,306.25
1070.7,293.75
1074.3,281.25
1076.3,272.75
1077.1,268.75
1079.1,256.25
1080.7,243.75
1081.9,231.25
1083.1,218.75
1084.4,206.25
1085.5,193.75
1086.6,181.25
1087.7,168.75
1089.0,156.25
1090.5,143.75
1092.1,131.25
1093.9,118.75
1095.5,106.25
1096.6,93.75
1097.1,81.25
1097.5,68.75
1097.9,56.25
1098.4,43.75
1098.8,33.024
1098.8,31.25
1099.1,18.75
1099.3,6.25
